DateTime,MacAddress,BosaSN,setAPDandSlope,OverloadSensitivity,CalibDDMI,CurveDDMI,CalibLOS,CheckLOS,WriteFlash,ErrorCode,TotalResult
2018/07/05 09:13:00,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:13:08,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:13:10,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:13:22,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:13:30,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:21:34,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:25:46,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:28:49,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:41:18,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 09:50:08,A06518211010,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,PASS,
2018/07/05 09:52:39,A06518211010,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,PASS,
2018/07/05 09:52:42,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(: COT-LI-0001),FAIL,
2018/07/05 09:52:56,A06518211010,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,PASS,
2018/07/05 09:56:51,A06518211010,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,PASS,
2018/07/05 09:56:56,A06518211010,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,PASS,
2018/07/05 10:55:53,A06518211010,--,NONE,NONE,FAIL,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 10:59:25,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(: COT-LI-0002),FAIL,
2018/07/05 10:59:47,A4F4C20D7093,--,NONE,NONE,FAIL,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 11:36:17,A4F4C20D7093,--,NONE,NONE,FAIL,NONE,NONE,NONE,NONE,,FAIL,
2018/07/05 12:03:56,--,--,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,
